id,prefecture_area,course_name,latitude,longitude,length_en,length_ja,elevation_gain_m,route_variant_of,distance_method,hilliness_en,hilliness_ja,children_en,children_ja,children_rating,older_adults_en,older_adults_ja,older_adults_rating,suitability_confidence,suitability_note_en,suitability_note_ja,suitability_signals_en,suitability_signals_ja,route_polyline_available,map_pdf_url,description_short
"aomori_aomori01","青森県 青森市","浅虫温泉海山クア（健康）の道","40.891134","140.862468","About 4.2 km","約4.2km","","","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Includes slopes, viewpoints, or old paths, so pace and rests should be planned.","坂・展望地・古道などを含むため、ペースと休憩計画が必要です。","Published distance: longer (4.2 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: やや長め（4.2km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/aomori/aomori01.pdf","浅虫温泉の海も山も楽しむ、自然豊かなコース"
"iwate_kitakami_iwate_kitakami_thecampus","岩手県 北上市 “the campus 〜トロイカの森〜”（民間企業）","the campus 縄文の森コース","39.3306","141.1129","1.61 km","1.61km","63","","known_length_from_source_text","Rolling","起伏あり","Usually OK","概ね可","ok","Usually OK","概ね可","ok","inferred_from_course_description","Suitability is inferred from public route descriptions; confirm exact distance, surface, and weather before walking.","公開説明からの推定です。歩く前に正確な距離・路面・天候を確認してください。","Published distance: moderate (1.61 km). | Result: children = Usually OK; older adults = Usually OK.","公表距離: 中程度（1.61km）。 | 判定: 子ども = 概ね可、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-kitakami/iwate_kitakami_thecampus.pdf","北上盆地の風と四季を感じて"
"iwate_kitakami_iwate_kitakami_thecampus_short","岩手県 北上市 “the campus 〜トロイカの森〜”（民間企業）","the campus 縄文の森コース ショート","39.3306","141.1129","1.14 km","1.14km","40","iwate_kitakami_iwate_kitakami_thecampus","known_length_from_source_text","Rolling","起伏あり","Usually OK","概ね可","ok","Usually OK","概ね可","ok","inferred_from_course_description","Suitability is inferred from public route descriptions; confirm exact distance, surface, and weather before walking.","公開説明からの推定です。歩く前に正確な距離・路面・天候を確認してください。","Published distance: short (1.14 km). | Result: children = Usually OK; older adults = Usually OK.","公表距離: 短め（1.14km）。 | 判定: 子ども = 概ね可、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-kitakami/iwate_kitakami_thecampus.pdf","北上盆地の風と四季を感じて"
"iwate_takizawa_iwate_takizawa_sogokoen","岩手県 滝沢市","滝沢総合公園コース","39.742","141.076","3.21 km","3.21km","73","","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (3.21 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（3.21km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/iwate-takizawa/iwate_takizawa_sogokoen.pdf","ビッグルーフを拠点に総合公園を歩く"
"iwate_takizawa_iwate_takizawa_kurakakeainosawa","岩手県 滝沢市","鞍掛 くらかけ ・ 相 あい の 沢 さわ コース","39.817","141.018","2.78 km","2.78km","83","","known_length_from_source_text","Hilly","坂・傾斜多め","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Includes slopes, viewpoints, or old paths, so pace and rests should be planned.","坂・展望地・古道などを含むため、ペースと休憩計画が必要です。","Published distance: moderate (2.78 km). | Slope signal: hills, viewpoints, old paths, or strong slopes appear in the source description. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（2.78km）。 | 坂・起伏の信号: 展望地・古道・強い傾斜などが説明に出ています。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/iwate-takizawa/iwate_takizawa_kurakakeainosawa.pdf","「イーハトーブの風景地」を歩く"
"iwate_ichinohe_iwate_ichinohe_park","岩手県 一戸町","一戸町総合運動公園コース","40.213","141.302","3.39 km","3.39km","93","","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (3.39 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（3.39km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-ichinohe/iwate_ichinohe_park.pdf","町民の運動拠点でドイツ式ウオーキングを"
"iwate_ichinohe_iwate_ichinohe_park_short_s1_s2","岩手県 一戸町","一戸町総合運動公園コース S1・S2利用","40.213","141.302","1.95 km","1.95km","36","iwate_ichinohe_iwate_ichinohe_park","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (1.95 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（1.95km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-ichinohe/iwate_ichinohe_park.pdf","町民の運動拠点でドイツ式ウオーキングを"
"iwate_ichinohe_iwate_ichinohe_park_short_s2","岩手県 一戸町","一戸町総合運動公園コース S2利用","40.213","141.302","2.71 km","2.71km","65","iwate_ichinohe_iwate_ichinohe_park","known_length_from_source_text","Rolling","起伏あり","Good fit","向いている","good","Usually OK","概ね可","ok","inferred_from_course_description","Park or urban setting makes this easier to access, though local slopes and distance still matter.","公園・都市型のためアクセスしやすい一方、現地の坂や距離は確認が必要です。","Published distance: moderate (2.71 km). | Park setting signal: likely clearer paths and more predictable facilities than remote nature routes. | Result: children = Good fit; older adults = Usually OK.","公表距離: 中程度（2.71km）。 | 公園系の信号: 山道より道や施設を把握しやすい可能性があります。 | 判定: 子ども = 向いている、高齢者 = 概ね可。","false","http://kurortwalking.com/file/iwate-ichinohe/iwate_ichinohe_park.pdf","町民の運動拠点でドイツ式ウオーキングを"
"iwate_ichinohe_iwate_ichinohe_okunakayama_yamanohibiki","岩手県 一戸町","奥中山高原コース 山の響きコース","40.0623","141.2146","1.95 km","1.95km","102","iwate_ichinohe_iwate_ichinohe_okunakayama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (1.95 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（1.95km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/iwate-ichinohe/iwate_ichinohe_okunakayama.pdf","奥中山高原のゲレンデを歩く高原コース"
"iwate_ichinohe_iwate_ichinohe_okunakayama_midorinosanpomichi","岩手県 一戸町","奥中山高原コース 緑の散歩道コース","40.0599","141.2133","1.78 km","1.78km","70","iwate_ichinohe_iwate_ichinohe_okunakayama","known_length_from_source_text","Mountain/highland","山・高原","Use caution","注意して可","caution","Use caution","注意して可","caution","inferred_from_course_description","Highland or mountain setting; better for confident walkers and guided outings.","山・高原環境のため、歩き慣れた人やガイド同行向けです。","Published distance: moderate (1.78 km). | Facility signal: public description mentions rest, visitor, station, roadside-station, or hot-spring facilities. | Highland/mountain signal: weather, temperature, and fatigue risk can be higher. | Result: children = Use caution; older adults = Use caution.","公表距離: 中程度（1.78km）。 | 施設の信号: 休憩・案内・道の駅・温泉などの施設が説明に出ています。 | 山・高原の信号: 天候・気温・疲労リスクが高くなる可能性があります。 | 判定: 子ども = 注意して可、高齢者 = 注意して可。","false","http://kurortwalking.com/file/iwate-ichinohe/iwate_ichinohe_okunakayama.pdf","比較的緩やかな奥中山高原の散歩道コース"
